,dataset_name,num_classes,num_instances,num_features,class_counts,mutual_info,features_type,acc_diff_mean,acc_diff_std,f1_median_diff_mean,f1_median_diff_std,training_took_ms_diff_mean,training_took_ms_diff_std,prediction_took_ms_diff_mean,prediction_took_ms_diff_std,training_energy_micro_jules_diff_mean,training_energy_micro_jules_diff_std,prediction_energy_micro_jules_diff_mean,prediction_energy_micro_jules_diff_std
0,BC,2,568,30,"{'B': 357, 'M': 211}","[0.3689653342665671, 0.10373645499160955, 0.3994701622728716, 0.3583380314357003, 0.07381844548746153, 0.21312274043772073, 0.3722088178868166, 0.440175750105521, 0.07054055357720901, 0.0065800300029050796, 0.24636122845525454, 0.0027112773751789554, 0.27311509000831236, 0.33858819859309874, 0.01402105107300411, 0.07072960388064686, 0.11380128153116931, 0.1323210704232174, 0.01449578624086767, 0.03718763863361563, 0.4544466943771728, 0.12313711391145832, 0.47349866114686456, 0.46414939534963917, 0.0978350369511718, 0.22531116326448575, 0.3161915329717504, 0.4370137694215519, 0.0879637377521878, 0.06651308342271389]",numeric,0.019614035087719296,0.043673556088152946,0.020700465551147254,0.046680717947840865,-6410.631333984375,179.8126265834892,-80.87466015625,105.92801246133098,-170.75504248046875,4.324272928136523,-2.06992529296875,2.395813490657509
1,SONAR,2,208,60,"{'Mine': 111, 'Rock': 97}","[0.03806299606511643, 0.0019090702802890824, 0.016330198373571303, 0.01070351610661735, 0.023629997383636026, 0.0, 0.027437547221304648, 0.05681227416539336, 0.0804321687041536, 0.08004052553632035, 0.12633769968059827, 0.1417837566881952, 0.028099627303708186, 0.0, 0.04173130634679456, 0.04302884694721976, 0.04177036984739679, 0.0, 0.0, 0.052308641539551726, 0.05354211771646655, 0.031185882219639804, 0.045676050877653473, 0.022401055306984663, 0.04178174806508128, 7.392526633664964e-05, 0.0, 0.00344892422220644, 0.03716430453509911, 0.028671783070925105, 0.0, 0.010013569662287392, 0.045638376840403616, 0.0, 0.0, 0.041870596198219756, 0.06459876293396127, 0.027930216944743513, 0.0559962614771341, 0.024628642089860042, 0.0, 0.0, 0.03594557231586837, 0.02192004537305592, 0.023705898174597895, 0.06841533995677018, 0.03373560083624194, 0.08215675473823958, 0.11532521073159163, 0.0, 0.0, 0.01955809930870167, 0.0, 0.008519293161685093, 0.02659734842437511, 0.0, 0.0, 0.06004102147141355, 0.025025669569042508, 0.020124587744883904]",numeric,-0.0840952380952381,0.06933836978044353,-0.08636507218111097,0.07125963030892853,-1454.7940625,28.63054364812803,-80.4471064453125,191.47544184098643,-38.9337421875,0.724266716041934,-1.9947060546875,4.349389721368493
2,ANNEALING,5,896,38,"{'1': 8, '2': 99, '3': 682, '5': 67, 'U': 40}","[0.29266530933943247, 0.0, 0.20467736877581943, 0.021867157385978553, 0.20388414178348513, 0.11954311027366993, 0.14977433840088206, 0.2036006780281645, 0.07761935802006192, 0.08611210441740025, 0.01943920167026847, 0.3055897887059549, 0.03550387495809715, 0.021691666062971127, 0.02079410626333411, 0.009913371036553542, 0.027879110660669726, 0.035225688375170705, 0.011633415226010024, 0.07253526693085632, 0.040531948465761136, 0.021721689514017317, 0.0, 0.0, 0.08331443164648489, 0.0017724220648394073, 0.0010835994744389232, 0.021030961598106357, 0.0, 0.00019508755868158367, 0.0, 0.0013582452110882937, 0.31600567722074957, 0.17322512457630723, 0.0644112375333954, 0.01440222027942295, 0.000797498341766012, 0.0]",mixed,0.0010222222222222217,0.02907957579462021,0.031967607399623364,0.06680285357358517,-19892.112220703126,653.7994704834721,-93.903501953125,4.433108898054971,-549.06466796875,14.341851863938217,-2.410312744140625,0.11776561435736362
3,GLASS,6,213,9,"{'1.0': 69, '2.0': 76, '3.0': 17, '5.0': 13, '6.0': 9, '7.0': 29}","[0.36096318728569265, 0.2921731186456511, 0.4265529202706433, 0.4084423032524733, 0.09286533783302398, 0.31961197457671053, 0.24386290705783242, 0.31286389580559915, 0.039481254598042526]",numeric,0.03609302325581396,0.09789370732594811,0.005111295392074249,0.1815272348365088,-4893.00582421875,189.13329701395728,-79.8950830078125,76.07497525414085,-131.82751171875,4.402143630233152,-2.06226904296875,1.7375951465119943
4,FLAGS,8,193,28,"{'0': 40, '1': 60, '2': 35, '3': 8, '4': 4, '5': 27, '6': 15, '7': 4}","[0.6824518798576915, 0.4148616439361481, 0.15841925663841216, 0.08296582518715612, 0.6605359082694493, 0.045174293978622604, 0.045061003663172006, 0.02660743869061699, 0.0, 0.05601908448539694, 0.044259566887740576, 0.0, 0.015279180865495956, 0.13013511880013118, 0.024659819680931783, 0.12219743156639451, 0.040902086231471735, 0.20315459006474024, 0.09802683319489969, 0.09528134723245518, 0.02361458423290541, 0.0, 0.008536249875647162, 0.0, 0.0, 0.025872576611446707, 0.10988738269540299, 0.1520374026985003]",mixed,0.06584615384615385,0.10531370750677779,0.06163891062024212,0.21250114934975203,-1892.7283447265625,81.27221258643094,-73.7469013671875,72.32705834282415,-52.98267895507813,1.9446272012072128,-1.87192431640625,1.6554919151927756
5,TUANDROMD,2,4464,241,"{'goodware': 899, 'malware': 3565}","[0.0, 0.009883360147639797, 0.0, 0.033478161682028995, 0.0, 0.024579405755451145, 0.007653639697185577, 0.003810922822542917, 0.012155864829303198, 0.0, 0.0, 0.0, 0.003270983842677211, 0.0, 0.009367893417487005, 0.0011442056895232255, 0.00046846070362027703, 0.0, 0.012143021861190872, 0.008951491139494783, 0.0, 0.0, 0.00041447335971112054, 0.0, 0.0, 0.0, 0.0011448542855028165, 0.0020132457384032243, 0.00662998088891209, 0.0, 0.007681510641691647, 0.0, 0.0035841096371491687, 0.008705971572553262, 0.0, 0.0, 0.0, 0.00036228116899361673, 0.0, 0.0, 0.0004830157797999224, 0.0027032989766744286, 0.002900126432352268, 0.014304114534581247, 0.003987193400658118, 0.0, 0.0, 0.0, 0.0, 0.00999409245025551, 0.0033694561958501623, 0.0, 0.0, 0.001301691176726294, 0.0, 0.0, 0.0018490791893279734, 0.008928856720902267, 0.0, 0.0, 0.0, 0.0, 0.011528989443491566, 0.0, 0.004182767328257286, 0.0, 0.0, 0.0, 0.0047109813357559815, 0.00518049630848183, 0.006774536926512642, 0.010117126136520271, 0.0, 0.0, 0.047084244360489746, 0.0010378460252362665, 0.010434358975667912, 0.006034665497283154, 0.0, 0.0006679193784622228, 0.0011578396571136906, 0.0, 0.006358895859712943, 0.013634826840503766, 0.011084204936608, 0.005602766370981449, 0.16102279553275012, 0.010050195950440433, 0.004753643260107188, 0.008974217589285072, 0.0018156711398080727, 0.006742632711229435, 0.0, 0.0017877343585146477, 0.0, 0.0, 0.0032368211569613337, 0.0, 0.006211177455365702, 0.0012885228278685101, 0.10938468796363776, 0.0, 0.003516530577670318, 0.0, 0.0012711202497934782, 0.001744594744520711, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001292110554774517, 0.0, 0.0, 0.008228353168941105, 0.011460351372059696, 0.007463404784085137, 0.0, 0.0029098266319376176, 0.0, 0.0, 0.0006411098980196872, 0.0, 0.0, 0.0, 0.0019573268419204037, 0.0, 0.0027085665583426177, 0.003920918514412675, 0.0, 0.008871912299532214, 0.0018334479651938018, 0.0, 0.00690809391536229, 0.01194665850991572, 0.0, 0.010227626850941585, 0.014025107279015847, 0.0, 0.0010351823155991813, 0.006740983872593809, 0.006388647819081328, 0.00438187728361128, 0.0031629476184005245, 0.0, 0.0, 0.01219568781091196, 0.006300682833662918, 0.23976031390490138, 0.019292476500710976, 0.0, 0.029055340845066446, 0.0, 0.0, 0.009981868119969262, 0.0, 0.0, 0.006106744703871181, 0.0, 0.0032549237324577263, 0.001128024943673811, 0.00625312565488545, 0.021383350655497457, 0.0, 0.005837633411780674, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0006557896614800551, 0.009378119551085584, 0.008883412744720376, 0.005511561136006149, 0.012726662896565655, 0.0, 0.001092941083621346, 0.002636167666355549, 0.009574434268903698, 0.00469428862370469, 0.03284903960328478, 0.0, 0.00651419511268192, 0.0, 0.003374553797115487, 0.0037144759294001073, 0.018536894325589692, 0.0, 0.03688166586030306, 0.09088597158877776, 0.0, 0.0011260211084898053, 0.0, 0.0, 0.006928931301940056, 0.0002010821052271794, 0.0, 0.003144866406742386, 0.023001700207292863, 0.008076481850111783, 0.0, 0.0, 0.0018454133575638298, 0.006201813786596011, 0.0, 0.010894154076562135, 0.0, 0.0030623042565094405, 0.010382258793632415, 0.0045417762078161505, 0.0, 0.008701399272100119, 0.019956245171024456, 0.012923490515958092, 0.002636429730712875, 0.09741532012126797, 0.08199411107089016, 0.08051199179678958, 0.21125503345449204, 0.0008493824367328262, 0.0023855755818003033, 0.0020856127009627468, 0.015248862624739346, 0.013311488404330163, 0.025702921996294092, 0.018381029901828327, 0.16924099163049755, 0.010825408341626375, 0.010665029356638156, 0.03491553340579534, 0.00039424250138275774, 0.04390677645623775, 0.028641932882758958, 0.03902334105016836, 0.04995914049001704, 0.052077413045427345, 0.010939925383450344, 0.004805414921366102, 0.0008485030109750547]",binary,-0.0037491601343785028,0.0030402456998939674,-0.005848370237830651,0.0047501882696429736,-4211.947674804687,300.7804979234922,-73.98482421875,3.3303481667881614,-124.785654296875,7.0310980104354535,-1.893229248046875,0.09093779444597691
6,SOYBEANS,19,306,35,"{'2-4-d-injury': 1, 'alternarialeaf-spot': 40, 'anthracnose': 20, 'bacterial-blight': 10, 'bacterial-pustule': 10, 'brown-spot': 40, 'brown-stem-rot': 20, 'charcoal-rot': 10, 'cyst-nematode': 6, 'diaporthe-pod-&-stem-blight': 6, 'diaporthe-stem-canker': 9, 'downy-mildew': 10, 'frog-eye-leaf-spot': 40, 'herbicide-injury': 4, 'phyllosticta-leaf-spot': 10, 'phytophthora-rot': 40, 'powdery-mildew': 10, 'purple-seed-stain': 10, 'rhizoctonia-root-rot': 10}","[0.44570407828626557, 0.31165906090067663, 0.7098607766687461, 0.44895949231693777, 0.5101095609364776, 0.017253338032805488, 0.47495071813134304, 0.6982111214447135, 0.40729540615008597, 0.2649341634704836, 0.5152156238797967, 0.40674349371245766, 0.986318347131077, 0.9810411083356181, 1.0961614171339256, 0.4752059057075564, 0.4063802752863319, 0.580143755844686, 0.5546862815468829, 0.5046028293892908, 0.89107051843569, 1.0111366471556043, 0.5413273096629942, 0.4436682810556194, 0.18405918305926505, 0.6062298440280238, 0.328154589976164, 0.9768914939221176, 1.1413143361488358, 0.5531013624744827, 0.5147137698361721, 0.48517583418221166, 0.6267915274252482, 0.5497794083603238, 0.516897217049932]",mixed,-0.03387096774193547,0.045305070661897213,-0.013929855894094687,0.039821109071480267,-2628.8913046875,205.64717475360675,-69.5305146484375,3.0891074897513113,-68.90830590820312,4.735151702521242,-1.7795068359375,0.08217062831352932
7,HVR,2,434,16,"{'democrat': 267, 'republican': 167}","[0.07444854494988351, 0.0, 0.2652960401906248, 0.5214286275823068, 0.28385785252939333, 0.09573166088259333, 0.13326472839451742, 0.22041012822966666, 0.2214004669220433, 0.0, 0.07373858930478971, 0.2516572678434459, 0.16295990931655524, 0.22198690798952248, 0.16973116898421448, 0.03217067130603546]",binary,-0.03273563218390805,0.05126088334119439,-0.033396561263038305,0.05205339860754111,-560.154626953125,103.98833348764907,-71.6153310546875,7.32953532467026,-10.231562744140625,2.9770932570299413,-1.858905517578125,0.18740678008839282
